layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 1792, 1792, 3]",9633792,float32,NaN,NaN,NaN,NaN,"[None, 1792, 1792, 3]",9633792,0
zero_padding2d_1,ZeroPadding2D,"[None, 1792, 1792, 3]",1,float32,NaN,NaN,NaN,NaN,"[None, 1798, 1798, 3]",9698412,0
conv1/conv,Conv2D,"[None, 1798, 1798, 3]",9698412,float32,64,"[7, 7]",linear,False,"[None, 896, 896, 64]",51380224,9408
conv1/bn,BatchNormalization,"[None, 896, 896, 64]",51380224,float32,NaN,NaN,NaN,NaN,"[None, 896, 896, 64]",51380224,256
conv1/relu,Activation,"[None, 896, 896, 64]",51380224,float32,NaN,NaN,relu,NaN,"[None, 896, 896, 64]",51380224,0
zero_padding2d_2,ZeroPadding2D,"[None, 896, 896, 64]",51380224,float32,NaN,NaN,NaN,NaN,"[None, 898, 898, 64]",51609856,0
pool1,MaxPooling2D,"[None, 898, 898, 64]",51609856,float32,NaN,NaN,NaN,NaN,"[None, 448, 448, 64]",12845056,0
conv2_block1_0_bn,BatchNormalization,"[None, 448, 448, 64]",12845056,float32,NaN,NaN,NaN,NaN,"[None, 448, 448, 64]",12845056,256
conv2_block1_0_relu,Activation,"[None, 448, 448, 64]",12845056,float32,NaN,NaN,relu,NaN,"[None, 448, 448, 64]",12845056,0
conv2_block1_1_conv,Conv2D,"[None, 448, 448, 64]",12845056,float32,128,"[1, 1]",linear,False,"[None, 448, 448, 128]",25690112,8192
conv2_block1_1_bn,BatchNormalization,"[None, 448, 448, 128]",25690112,float32,NaN,NaN,NaN,NaN,"[None, 448, 448, 128]",25690112,512
conv2_block1_1_relu,Activation,"[None, 448, 448, 128]",25690112,float32,NaN,NaN,relu,NaN,"[None, 448, 448, 128]",25690112,0
conv2_block1_2_conv,Conv2D,"[None, 448, 448, 128]",25690112,float32,32,"[3, 3]",linear,False,"[None, 448, 448, 32]",6422528,36864
conv2_block1_concat,Concatenate,"[None, 448, 448, 32]",6422528,float32,NaN,NaN,NaN,NaN,"[None, 448, 448, 96]",19267584,0
conv2_block2_0_bn,BatchNormalization,"[None, 448, 448, 96]",19267584,float32,NaN,NaN,NaN,NaN,"[None, 448, 448, 96]",19267584,384
conv2_block2_0_relu,Activation,"[None, 448, 448, 96]",19267584,float32,NaN,NaN,relu,NaN,"[None, 448, 448, 96]",19267584,0
conv2_block2_1_conv,Conv2D,"[None, 448, 448, 96]",19267584,float32,128,"[1, 1]",linear,False,"[None, 448, 448, 128]",25690112,12288
conv2_block2_1_bn,BatchNormalization,"[None, 448, 448, 128]",25690112,float32,NaN,NaN,NaN,NaN,"[None, 448, 448, 128]",25690112,512
conv2_block2_1_relu,Activation,"[None, 448, 448, 128]",25690112,float32,NaN,NaN,relu,NaN,"[None, 448, 448, 128]",25690112,0
conv2_block2_2_conv,Conv2D,"[None, 448, 448, 128]",25690112,float32,32,"[3, 3]",linear,False,"[None, 448, 448, 32]",6422528,36864
conv2_block2_concat,Concatenate,"[None, 448, 448, 32]",6422528,float32,NaN,NaN,NaN,NaN,"[None, 448, 448, 128]",25690112,0
conv2_block3_0_bn,BatchNormalization,"[None, 448, 448, 128]",25690112,float32,NaN,NaN,NaN,NaN,"[None, 448, 448, 128]",25690112,512
conv2_block3_0_relu,Activation,"[None, 448, 448, 128]",25690112,float32,NaN,NaN,relu,NaN,"[None, 448, 448, 128]",25690112,0
conv2_block3_1_conv,Conv2D,"[None, 448, 448, 128]",25690112,float32,128,"[1, 1]",linear,False,"[None, 448, 448, 128]",25690112,16384
conv2_block3_1_bn,BatchNormalization,"[None, 448, 448, 128]",25690112,float32,NaN,NaN,NaN,NaN,"[None, 448, 448, 128]",25690112,512
