layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 1024, 1024, 3]",3145728,float32,NaN,NaN,NaN,NaN,"[None, 1024, 1024, 3]",3145728,0
conv1,Conv2D,"[None, 1024, 1024, 3]",1,float32,24,"[3, 3]",relu,False,"[None, 512, 512, 24]",6291456,648
maxpool1,MaxPooling2D,"[None, 512, 512, 24]",6291456,float32,NaN,NaN,NaN,NaN,"[None, 256, 256, 24]",1572864,0
stage2/block1/1x1conv_1,Conv2D,"[None, 256, 256, 24]",1572864,float32,116,"[1, 1]",linear,True,"[None, 256, 256, 116]",7602176,2900
stage2/block1/bn_1x1conv_1,BatchNormalization,"[None, 256, 256, 116]",7602176,float32,NaN,NaN,NaN,NaN,"[None, 256, 256, 116]",7602176,464
stage2/block1/relu_1x1conv_1,Activation,"[None, 256, 256, 116]",7602176,float32,NaN,NaN,relu,NaN,"[None, 256, 256, 116]",7602176,0
stage2/block1/3x3dwconv,DepthwiseConv2D,"[None, 256, 256, 116]",7602176,float32,NaN,"[3, 3]",linear,True,"[None, 128, 128, 116]",1900544,1160
stage2/block1/3x3dwconv_2,DepthwiseConv2D,"[None, 128, 128, 116]",1900544,float32,NaN,"[3, 3]",linear,True,"[None, 128, 128, 24]",393216,240
stage2/block1/bn_3x3dwconv,BatchNormalization,"[None, 128, 128, 24]",393216,float32,NaN,NaN,NaN,NaN,"[None, 128, 128, 116]",1900544,464
stage2/block1/bn_3x3dwconv_2,BatchNormalization,"[None, 128, 128, 116]",1900544,float32,NaN,NaN,NaN,NaN,"[None, 128, 128, 24]",393216,96
stage2/block1/1x1conv_2,Conv2D,"[None, 128, 128, 24]",393216,float32,116,"[1, 1]",linear,True,"[None, 128, 128, 116]",1900544,13572
stage2/block1/1x1_conv_3,Conv2D,"[None, 128, 128, 116]",1900544,float32,116,"[1, 1]",linear,True,"[None, 128, 128, 116]",1900544,2900
stage2/block1/bn_1x1conv_2,BatchNormalization,"[None, 128, 128, 116]",1900544,float32,NaN,NaN,NaN,NaN,"[None, 128, 128, 116]",1900544,464
stage2/block1/bn_1x1conv_3,BatchNormalization,"[None, 128, 128, 116]",1900544,float32,NaN,NaN,NaN,NaN,"[None, 128, 128, 116]",1900544,464
stage2/block1/relu_1x1conv_2,Activation,"[None, 128, 128, 116]",1900544,float32,NaN,NaN,relu,NaN,"[None, 128, 128, 116]",1900544,0
stage2/block1/relu_1x1conv_3,Activation,"[None, 128, 128, 116]",1900544,float32,NaN,NaN,relu,NaN,"[None, 128, 128, 116]",1900544,0
stage2/block1/concat_2,Concatenate,"[None, 128, 128, 116]",1900544,float32,NaN,NaN,NaN,NaN,"[None, 128, 128, 232]",3801088,0
stage2/block1/channel_shuffle,Lambda,"[None, 128, 128, 232]",3801088,float32,NaN,NaN,NaN,NaN,"[None, 128, 128, 232]",3801088,0
stage2/block2/spl/sp1_slice,Lambda,"[None, 128, 128, 232]",3801088,float32,NaN,NaN,NaN,NaN,"[None, 128, 128, 116]",1900544,0
stage2/block2/1x1conv_1,Conv2D,"[None, 128, 128, 116]",1900544,float32,116,"[1, 1]",linear,True,"[None, 128, 128, 116]",1900544,13572
stage2/block2/bn_1x1conv_1,BatchNormalization,"[None, 128, 128, 116]",1900544,float32,NaN,NaN,NaN,NaN,"[None, 128, 128, 116]",1900544,464
stage2/block2/relu_1x1conv_1,Activation,"[None, 128, 128, 116]",1900544,float32,NaN,NaN,relu,NaN,"[None, 128, 128, 116]",1900544,0
stage2/block2/3x3dwconv,DepthwiseConv2D,"[None, 128, 128, 116]",1900544,float32,NaN,"[3, 3]",linear,True,"[None, 128, 128, 116]",1900544,1160
stage2/block2/bn_3x3dwconv,BatchNormalization,"[None, 128, 128, 116]",1900544,float32,NaN,NaN,NaN,NaN,"[None, 128, 128, 116]",1900544,464
stage2/block2/1x1conv_2,Conv2D,"[None, 128, 128, 116]",1900544,float32,116,"[1, 1]",linear,True,"[None, 128, 128, 116]",1900544,13572
stage2/block2/bn_1x1conv_2,BatchNormalization,"[None, 128, 128, 116]",1900544,float32,NaN,NaN,NaN,NaN,"[None, 128, 128, 116]",1900544,464
stage2/block2/relu_1x1conv_2,Activation,"[None, 128, 128, 116]",1900544,float32,NaN,NaN,relu,NaN,"[None, 128, 128, 116]",1900544,0
stage2/block2/spl/sp0_slice,Lambda,"[None, 128, 128, 116]",1900544,float32,NaN,NaN,NaN,NaN,"[None, 128, 128, 116]",1900544,0
stage2/block2/concat_1,Concatenate,"[None, 128, 128, 116]",1900544,float32,NaN,NaN,NaN,NaN,"[None, 128, 128, 232]",3801088,0
stage2/block2/channel_shuffle,Lambda,"[None, 128, 128, 232]",3801088,float32,NaN,NaN,NaN,NaN,"[None, 128, 128, 232]",3801088,0
stage2/block3/spl/sp1_slice,Lambda,"[None, 128, 128, 232]",3801088,float32,NaN,NaN,NaN,NaN,"[None, 128, 128, 116]",1900544,0
stage2/block3/1x1conv_1,Conv2D,"[None, 128, 128, 116]",1900544,float32,116,"[1, 1]",linear,True,"[None, 128, 128, 116]",1900544,13572
stage2/block3/bn_1x1conv_1,BatchNormalization,"[None, 128, 128, 116]",1900544,float32,NaN,NaN,NaN,NaN,"[None, 128, 128, 116]",1900544,464
stage2/block3/relu_1x1conv_1,Activation,"[None, 128, 128, 116]",1900544,float32,NaN,NaN,relu,NaN,"[None, 128, 128, 116]",1900544,0
stage2/block3/3x3dwconv,DepthwiseConv2D,"[None, 128, 128, 116]",1900544,float32,NaN,"[3, 3]",linear,True,"[None, 128, 128, 116]",1900544,1160
