layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 240, 240, 3]",172800,float32,NaN,NaN,NaN,NaN,"[None, 240, 240, 3]",172800,0
stem_conv,Conv2D,"[None, 240, 240, 3]",1,float32,32,"[3, 3]",linear,False,"[None, 120, 120, 32]",460800,864
stem_bn,BatchNormalization,"[None, 120, 120, 32]",460800,float32,NaN,NaN,NaN,NaN,"[None, 120, 120, 32]",460800,128
stem_activation,Activation,"[None, 120, 120, 32]",460800,float32,NaN,NaN,swish,NaN,"[None, 120, 120, 32]",460800,0
block1a_dwconv,DepthwiseConv2D,"[None, 120, 120, 32]",460800,float32,NaN,"[3, 3]",linear,False,"[None, 120, 120, 32]",460800,288
block1a_bn,BatchNormalization,"[None, 120, 120, 32]",460800,float32,NaN,NaN,NaN,NaN,"[None, 120, 120, 32]",460800,128
block1a_activation,Activation,"[None, 120, 120, 32]",460800,float32,NaN,NaN,swish,NaN,"[None, 120, 120, 32]",460800,0
block1a_se_squeeze,GlobalAveragePooling2D,"[None, 120, 120, 32]",460800,float32,NaN,NaN,NaN,NaN,"[None, 32]",32,0
block1a_se_reshape,Reshape,"[None, 32]",32,float32,NaN,NaN,NaN,NaN,"[None, 1, 1, 32]",32,0
block1a_se_reduce,Conv2D,"[None, 1, 1, 32]",32,float32,8,"[1, 1]",swish,True,"[None, 1, 1, 8]",8,264
block1a_se_expand,Conv2D,"[None, 1, 1, 8]",8,float32,32,"[1, 1]",sigmoid,True,"[None, 1, 1, 32]",32,288
block1a_se_excite,Multiply,"[None, 1, 1, 32]",32,float32,NaN,NaN,NaN,NaN,"[None, 120, 120, 32]",460800,0
block1a_project_conv,Conv2D,"[None, 120, 120, 32]",460800,float32,16,"[1, 1]",linear,False,"[None, 120, 120, 16]",230400,512
block1a_project_bn,BatchNormalization,"[None, 120, 120, 16]",230400,float32,NaN,NaN,NaN,NaN,"[None, 120, 120, 16]",230400,64
block1b_dwconv,DepthwiseConv2D,"[None, 120, 120, 16]",230400,float32,NaN,"[3, 3]",linear,False,"[None, 120, 120, 16]",230400,144
block1b_bn,BatchNormalization,"[None, 120, 120, 16]",230400,float32,NaN,NaN,NaN,NaN,"[None, 120, 120, 16]",230400,64
