layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 568, 568, 3]",967872,float32,NaN,NaN,NaN,NaN,"[None, 568, 568, 3]",967872,0
conv2d_1,Conv2D,"[None, 568, 568, 3]",1,float32,16,"[3, 3]",linear,True,"[None, 284, 284, 16]",1290496,448
batch_normalization_1,BatchNormalization,"[None, 284, 284, 16]",1290496,float32,NaN,NaN,NaN,NaN,"[None, 284, 284, 16]",1290496,64
activation_1,Activation,"[None, 284, 284, 16]",1290496,float32,NaN,NaN,_hard_swish,NaN,"[None, 284, 284, 16]",1290496,0
conv2d_2,Conv2D,"[None, 284, 284, 16]",1290496,float32,16,"[1, 1]",linear,True,"[None, 284, 284, 16]",1290496,272
batch_normalization_2,BatchNormalization,"[None, 284, 284, 16]",1290496,float32,NaN,NaN,NaN,NaN,"[None, 284, 284, 16]",1290496,64
activation_2,Activation,"[None, 284, 284, 16]",1290496,float32,NaN,NaN,_relu6,NaN,"[None, 284, 284, 16]",1290496,0
depthwise_conv2d_1,DepthwiseConv2D,"[None, 284, 284, 16]",1290496,float32,NaN,"[3, 3]",linear,True,"[None, 284, 284, 16]",1290496,160
batch_normalization_3,BatchNormalization,"[None, 284, 284, 16]",1290496,float32,NaN,NaN,NaN,NaN,"[None, 284, 284, 16]",1290496,64
activation_3,Activation,"[None, 284, 284, 16]",1290496,float32,NaN,NaN,_relu6,NaN,"[None, 284, 284, 16]",1290496,0
conv2d_3,Conv2D,"[None, 284, 284, 16]",1290496,float32,16,"[1, 1]",linear,True,"[None, 284, 284, 16]",1290496,272
batch_normalization_4,BatchNormalization,"[None, 284, 284, 16]",1290496,float32,NaN,NaN,NaN,NaN,"[None, 284, 284, 16]",1290496,64
add_1,Add,"[None, 284, 284, 16]",1290496,float32,NaN,NaN,NaN,NaN,"[None, 284, 284, 16]",1290496,0
conv2d_4,Conv2D,"[None, 284, 284, 16]",1290496,float32,64,"[1, 1]",linear,True,"[None, 284, 284, 64]",5161984,1088
batch_normalization_5,BatchNormalization,"[None, 284, 284, 64]",5161984,float32,NaN,NaN,NaN,NaN,"[None, 284, 284, 64]",5161984,256
activation_4,Activation,"[None, 284, 284, 64]",5161984,float32,NaN,NaN,_relu6,NaN,"[None, 284, 284, 64]",5161984,0
depthwise_conv2d_2,DepthwiseConv2D,"[None, 284, 284, 64]",5161984,float32,NaN,"[3, 3]",linear,True,"[None, 142, 142, 64]",1290496,640
batch_normalization_6,BatchNormalization,"[None, 142, 142, 64]",1290496,float32,NaN,NaN,NaN,NaN,"[None, 142, 142, 64]",1290496,256
activation_5,Activation,"[None, 142, 142, 64]",1290496,float32,NaN,NaN,_relu6,NaN,"[None, 142, 142, 64]",1290496,0
conv2d_5,Conv2D,"[None, 142, 142, 64]",1290496,float32,24,"[1, 1]",linear,True,"[None, 142, 142, 24]",483936,1560
batch_normalization_7,BatchNormalization,"[None, 142, 142, 24]",483936,float32,NaN,NaN,NaN,NaN,"[None, 142, 142, 24]",483936,96
conv2d_6,Conv2D,"[None, 142, 142, 24]",483936,float32,72,"[1, 1]",linear,True,"[None, 142, 142, 72]",1451808,1800
batch_normalization_8,BatchNormalization,"[None, 142, 142, 72]",1451808,float32,NaN,NaN,NaN,NaN,"[None, 142, 142, 72]",1451808,288
activation_6,Activation,"[None, 142, 142, 72]",1451808,float32,NaN,NaN,_relu6,NaN,"[None, 142, 142, 72]",1451808,0
depthwise_conv2d_3,DepthwiseConv2D,"[None, 142, 142, 72]",1451808,float32,NaN,"[3, 3]",linear,True,"[None, 142, 142, 72]",1451808,720
batch_normalization_9,BatchNormalization,"[None, 142, 142, 72]",1451808,float32,NaN,NaN,NaN,NaN,"[None, 142, 142, 72]",1451808,288
activation_7,Activation,"[None, 142, 142, 72]",1451808,float32,NaN,NaN,_relu6,NaN,"[None, 142, 142, 72]",1451808,0
conv2d_7,Conv2D,"[None, 142, 142, 72]",1451808,float32,24,"[1, 1]",linear,True,"[None, 142, 142, 24]",483936,1752
batch_normalization_10,BatchNormalization,"[None, 142, 142, 24]",483936,float32,NaN,NaN,NaN,NaN,"[None, 142, 142, 24]",483936,96
add_2,Add,"[None, 142, 142, 24]",483936,float32,NaN,NaN,NaN,NaN,"[None, 142, 142, 24]",483936,0
conv2d_8,Conv2D,"[None, 142, 142, 24]",483936,float32,72,"[1, 1]",linear,True,"[None, 142, 142, 72]",1451808,1800
batch_normalization_11,BatchNormalization,"[None, 142, 142, 72]",1451808,float32,NaN,NaN,NaN,NaN,"[None, 142, 142, 72]",1451808,288
activation_8,Activation,"[None, 142, 142, 72]",1451808,float32,NaN,NaN,_relu6,NaN,"[None, 142, 142, 72]",1451808,0
depthwise_conv2d_4,DepthwiseConv2D,"[None, 142, 142, 72]",1451808,float32,NaN,"[5, 5]",linear,True,"[None, 71, 71, 72]",362952,1872
batch_normalization_12,BatchNormalization,"[None, 71, 71, 72]",362952,float32,NaN,NaN,NaN,NaN,"[None, 71, 71, 72]",362952,288
activation_9,Activation,"[None, 71, 71, 72]",362952,float32,NaN,NaN,_relu6,NaN,"[None, 71, 71, 72]",362952,0
global_average_pooling2d_1,GlobalAveragePooling2D,"[None, 71, 71, 72]",362952,float32,NaN,NaN,NaN,NaN,"[None, 72]",72,0
dense_1,Dense,"[None, 72]",72,float32,NaN,NaN,relu,True,"[None, 72]",72,5256
dense_2,Dense,"[None, 72]",72,float32,NaN,NaN,hard_sigmoid,True,"[None, 72]",72,5256
reshape_1,Reshape,"[None, 72]",72,float32,NaN,NaN,NaN,NaN,"[None, 1, 1, 72]",72,0
multiply_1,Multiply,"[None, 1, 1, 72]",72,float32,NaN,NaN,NaN,NaN,"[None, 71, 71, 72]",362952,0
conv2d_9,Conv2D,"[None, 71, 71, 72]",362952,float32,40,"[1, 1]",linear,True,"[None, 71, 71, 40]",201640,2920
batch_normalization_13,BatchNormalization,"[None, 71, 71, 40]",201640,float32,NaN,NaN,NaN,NaN,"[None, 71, 71, 40]",201640,160
conv2d_10,Conv2D,"[None, 71, 71, 40]",201640,float32,120,"[1, 1]",linear,True,"[None, 71, 71, 120]",604920,4920
batch_normalization_14,BatchNormalization,"[None, 71, 71, 120]",604920,float32,NaN,NaN,NaN,NaN,"[None, 71, 71, 120]",604920,480
activation_10,Activation,"[None, 71, 71, 120]",604920,float32,NaN,NaN,_relu6,NaN,"[None, 71, 71, 120]",604920,0
depthwise_conv2d_5,DepthwiseConv2D,"[None, 71, 71, 120]",604920,float32,NaN,"[5, 5]",linear,True,"[None, 71, 71, 120]",604920,3120
batch_normalization_15,BatchNormalization,"[None, 71, 71, 120]",604920,float32,NaN,NaN,NaN,NaN,"[None, 71, 71, 120]",604920,480
activation_11,Activation,"[None, 71, 71, 120]",604920,float32,NaN,NaN,_relu6,NaN,"[None, 71, 71, 120]",604920,0
global_average_pooling2d_2,GlobalAveragePooling2D,"[None, 71, 71, 120]",604920,float32,NaN,NaN,NaN,NaN,"[None, 120]",120,0
dense_3,Dense,"[None, 120]",120,float32,NaN,NaN,relu,True,"[None, 120]",120,14520
dense_4,Dense,"[None, 120]",120,float32,NaN,NaN,hard_sigmoid,True,"[None, 120]",120,14520
reshape_2,Reshape,"[None, 120]",120,float32,NaN,NaN,NaN,NaN,"[None, 1, 1, 120]",120,0
multiply_2,Multiply,"[None, 1, 1, 120]",120,float32,NaN,NaN,NaN,NaN,"[None, 71, 71, 120]",604920,0
conv2d_11,Conv2D,"[None, 71, 71, 120]",604920,float32,40,"[1, 1]",linear,True,"[None, 71, 71, 40]",201640,4840
