layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 568, 568, 3]",967872,float32,NaN,NaN,NaN,NaN,"[None, 568, 568, 3]",967872,0
conv2d_1,Conv2D,"[None, 568, 568, 3]",1,float32,16,"[3, 3]",linear,True,"[None, 284, 284, 16]",1290496,448
batch_normalization_1,BatchNormalization,"[None, 284, 284, 16]",1290496,float32,NaN,NaN,NaN,NaN,"[None, 284, 284, 16]",1290496,64
activation_1,Activation,"[None, 284, 284, 16]",1290496,float32,NaN,NaN,_hard_swish,NaN,"[None, 284, 284, 16]",1290496,0
conv2d_2,Conv2D,"[None, 284, 284, 16]",1290496,float32,16,"[1, 1]",linear,True,"[None, 284, 284, 16]",1290496,272
batch_normalization_2,BatchNormalization,"[None, 284, 284, 16]",1290496,float32,NaN,NaN,NaN,NaN,"[None, 284, 284, 16]",1290496,64
activation_2,Activation,"[None, 284, 284, 16]",1290496,float32,NaN,NaN,_relu6,NaN,"[None, 284, 284, 16]",1290496,0
depthwise_conv2d_1,DepthwiseConv2D,"[None, 284, 284, 16]",1290496,float32,NaN,"[3, 3]",linear,True,"[None, 142, 142, 16]",322624,160
batch_normalization_3,BatchNormalization,"[None, 142, 142, 16]",322624,float32,NaN,NaN,NaN,NaN,"[None, 142, 142, 16]",322624,64
activation_3,Activation,"[None, 142, 142, 16]",322624,float32,NaN,NaN,_relu6,NaN,"[None, 142, 142, 16]",322624,0
global_average_pooling2d_1,GlobalAveragePooling2D,"[None, 142, 142, 16]",322624,float32,NaN,NaN,NaN,NaN,"[None, 16]",16,0
dense_1,Dense,"[None, 16]",16,float32,NaN,NaN,relu,True,"[None, 16]",16,272
dense_2,Dense,"[None, 16]",16,float32,NaN,NaN,hard_sigmoid,True,"[None, 16]",16,272
reshape_1,Reshape,"[None, 16]",16,float32,NaN,NaN,NaN,NaN,"[None, 1, 1, 16]",16,0
multiply_1,Multiply,"[None, 1, 1, 16]",16,float32,NaN,NaN,NaN,NaN,"[None, 142, 142, 16]",322624,0
conv2d_3,Conv2D,"[None, 142, 142, 16]",322624,float32,16,"[1, 1]",linear,True,"[None, 142, 142, 16]",322624,272
batch_normalization_4,BatchNormalization,"[None, 142, 142, 16]",322624,float32,NaN,NaN,NaN,NaN,"[None, 142, 142, 16]",322624,64
conv2d_4,Conv2D,"[None, 142, 142, 16]",322624,float32,72,"[1, 1]",linear,True,"[None, 142, 142, 72]",1451808,1224
batch_normalization_5,BatchNormalization,"[None, 142, 142, 72]",1451808,float32,NaN,NaN,NaN,NaN,"[None, 142, 142, 72]",1451808,288
activation_4,Activation,"[None, 142, 142, 72]",1451808,float32,NaN,NaN,_relu6,NaN,"[None, 142, 142, 72]",1451808,0
depthwise_conv2d_2,DepthwiseConv2D,"[None, 142, 142, 72]",1451808,float32,NaN,"[3, 3]",linear,True,"[None, 71, 71, 72]",362952,720
batch_normalization_6,BatchNormalization,"[None, 71, 71, 72]",362952,float32,NaN,NaN,NaN,NaN,"[None, 71, 71, 72]",362952,288
activation_5,Activation,"[None, 71, 71, 72]",362952,float32,NaN,NaN,_relu6,NaN,"[None, 71, 71, 72]",362952,0
conv2d_5,Conv2D,"[None, 71, 71, 72]",362952,float32,24,"[1, 1]",linear,True,"[None, 71, 71, 24]",120984,1752
batch_normalization_7,BatchNormalization,"[None, 71, 71, 24]",120984,float32,NaN,NaN,NaN,NaN,"[None, 71, 71, 24]",120984,96
conv2d_6,Conv2D,"[None, 71, 71, 24]",120984,float32,88,"[1, 1]",linear,True,"[None, 71, 71, 88]",443608,2200
batch_normalization_8,BatchNormalization,"[None, 71, 71, 88]",443608,float32,NaN,NaN,NaN,NaN,"[None, 71, 71, 88]",443608,352
activation_6,Activation,"[None, 71, 71, 88]",443608,float32,NaN,NaN,_relu6,NaN,"[None, 71, 71, 88]",443608,0
depthwise_conv2d_3,DepthwiseConv2D,"[None, 71, 71, 88]",443608,float32,NaN,"[3, 3]",linear,True,"[None, 71, 71, 88]",443608,880
batch_normalization_9,BatchNormalization,"[None, 71, 71, 88]",443608,float32,NaN,NaN,NaN,NaN,"[None, 71, 71, 88]",443608,352
activation_7,Activation,"[None, 71, 71, 88]",443608,float32,NaN,NaN,_relu6,NaN,"[None, 71, 71, 88]",443608,0
conv2d_7,Conv2D,"[None, 71, 71, 88]",443608,float32,24,"[1, 1]",linear,True,"[None, 71, 71, 24]",120984,2136
batch_normalization_10,BatchNormalization,"[None, 71, 71, 24]",120984,float32,NaN,NaN,NaN,NaN,"[None, 71, 71, 24]",120984,96
add_1,Add,"[None, 71, 71, 24]",120984,float32,NaN,NaN,NaN,NaN,"[None, 71, 71, 24]",120984,0
conv2d_8,Conv2D,"[None, 71, 71, 24]",120984,float32,96,"[1, 1]",linear,True,"[None, 71, 71, 96]",483936,2400
batch_normalization_11,BatchNormalization,"[None, 71, 71, 96]",483936,float32,NaN,NaN,NaN,NaN,"[None, 71, 71, 96]",483936,384
activation_8,Activation,"[None, 71, 71, 96]",483936,float32,NaN,NaN,_hard_swish,NaN,"[None, 71, 71, 96]",483936,0
depthwise_conv2d_4,DepthwiseConv2D,"[None, 71, 71, 96]",483936,float32,NaN,"[5, 5]",linear,True,"[None, 36, 36, 96]",124416,2496
batch_normalization_12,BatchNormalization,"[None, 36, 36, 96]",124416,float32,NaN,NaN,NaN,NaN,"[None, 36, 36, 96]",124416,384
activation_9,Activation,"[None, 36, 36, 96]",124416,float32,NaN,NaN,_hard_swish,NaN,"[None, 36, 36, 96]",124416,0
global_average_pooling2d_2,GlobalAveragePooling2D,"[None, 36, 36, 96]",124416,float32,NaN,NaN,NaN,NaN,"[None, 96]",96,0
dense_3,Dense,"[None, 96]",96,float32,NaN,NaN,relu,True,"[None, 96]",96,9312
dense_4,Dense,"[None, 96]",96,float32,NaN,NaN,hard_sigmoid,True,"[None, 96]",96,9312
reshape_2,Reshape,"[None, 96]",96,float32,NaN,NaN,NaN,NaN,"[None, 1, 1, 96]",96,0
multiply_2,Multiply,"[None, 1, 1, 96]",96,float32,NaN,NaN,NaN,NaN,"[None, 36, 36, 96]",124416,0
conv2d_9,Conv2D,"[None, 36, 36, 96]",124416,float32,40,"[1, 1]",linear,True,"[None, 36, 36, 40]",51840,3880
batch_normalization_13,BatchNormalization,"[None, 36, 36, 40]",51840,float32,NaN,NaN,NaN,NaN,"[None, 36, 36, 40]",51840,160
conv2d_10,Conv2D,"[None, 36, 36, 40]",51840,float32,240,"[1, 1]",linear,True,"[None, 36, 36, 240]",311040,9840
batch_normalization_14,BatchNormalization,"[None, 36, 36, 240]",311040,float32,NaN,NaN,NaN,NaN,"[None, 36, 36, 240]",311040,960
activation_10,Activation,"[None, 36, 36, 240]",311040,float32,NaN,NaN,_hard_swish,NaN,"[None, 36, 36, 240]",311040,0
depthwise_conv2d_5,DepthwiseConv2D,"[None, 36, 36, 240]",311040,float32,NaN,"[5, 5]",linear,True,"[None, 36, 36, 240]",311040,6240
batch_normalization_15,BatchNormalization,"[None, 36, 36, 240]",311040,float32,NaN,NaN,NaN,NaN,"[None, 36, 36, 240]",311040,960
activation_11,Activation,"[None, 36, 36, 240]",311040,float32,NaN,NaN,_hard_swish,NaN,"[None, 36, 36, 240]",311040,0
global_average_pooling2d_3,GlobalAveragePooling2D,"[None, 36, 36, 240]",311040,float32,NaN,NaN,NaN,NaN,"[None, 240]",240,0
dense_5,Dense,"[None, 240]",240,float32,NaN,NaN,relu,True,"[None, 240]",240,57840
dense_6,Dense,"[None, 240]",240,float32,NaN,NaN,hard_sigmoid,True,"[None, 240]",240,57840
reshape_3,Reshape,"[None, 240]",240,float32,NaN,NaN,NaN,NaN,"[None, 1, 1, 240]",240,0
multiply_3,Multiply,"[None, 1, 1, 240]",240,float32,NaN,NaN,NaN,NaN,"[None, 36, 36, 240]",311040,0
conv2d_11,Conv2D,"[None, 36, 36, 240]",311040,float32,40,"[1, 1]",linear,True,"[None, 36, 36, 40]",51840,9640
batch_normalization_16,BatchNormalization,"[None, 36, 36, 40]",51840,float32,NaN,NaN,NaN,NaN,"[None, 36, 36, 40]",51840,160
add_2,Add,"[None, 36, 36, 40]",51840,float32,NaN,NaN,NaN,NaN,"[None, 36, 36, 40]",51840,0
conv2d_12,Conv2D,"[None, 36, 36, 40]",51840,float32,240,"[1, 1]",linear,True,"[None, 36, 36, 240]",311040,9840
batch_normalization_17,BatchNormalization,"[None, 36, 36, 240]",311040,float32,NaN,NaN,NaN,NaN,"[None, 36, 36, 240]",311040,960
activation_12,Activation,"[None, 36, 36, 240]",311040,float32,NaN,NaN,_hard_swish,NaN,"[None, 36, 36, 240]",311040,0
depthwise_conv2d_6,DepthwiseConv2D,"[None, 36, 36, 240]",311040,float32,NaN,"[5, 5]",linear,True,"[None, 36, 36, 240]",311040,6240
batch_normalization_18,BatchNormalization,"[None, 36, 36, 240]",311040,float32,NaN,NaN,NaN,NaN,"[None, 36, 36, 240]",311040,960
activation_13,Activation,"[None, 36, 36, 240]",311040,float32,NaN,NaN,_hard_swish,NaN,"[None, 36, 36, 240]",311040,0
global_average_pooling2d_4,GlobalAveragePooling2D,"[None, 36, 36, 240]",311040,float32,NaN,NaN,NaN,NaN,"[None, 240]",240,0
dense_7,Dense,"[None, 240]",240,float32,NaN,NaN,relu,True,"[None, 240]",240,57840
dense_8,Dense,"[None, 240]",240,float32,NaN,NaN,hard_sigmoid,True,"[None, 240]",240,57840
reshape_4,Reshape,"[None, 240]",240,float32,NaN,NaN,NaN,NaN,"[None, 1, 1, 240]",240,0
multiply_4,Multiply,"[None, 1, 1, 240]",240,float32,NaN,NaN,NaN,NaN,"[None, 36, 36, 240]",311040,0
