layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[1, 128, 128, 3]",49152,float32,NaN,NaN,NaN,NaN,"[1, 128, 128, 3]",49152,0
conv2d,Conv2D,"[1, 128, 128, 3]",1,float32,16,"[3, 3]",linear,False,"[1, 64, 64, 16]",65536,432
batch_normalization,BatchNormalization,"[1, 64, 64, 16]",65536,float32,NaN,NaN,NaN,NaN,"[1, 64, 64, 16]",65536,64
re_lu,ReLU,"[1, 64, 64, 16]",65536,float32,NaN,NaN,NaN,NaN,"[1, 64, 64, 16]",65536,0
depthwise_conv2d,DepthwiseConv2D,"[1, 64, 64, 16]",65536,float32,NaN,"[3, 3]",linear,False,"[1, 64, 64, 16]",65536,144
batch_normalization_1,BatchNormalization,"[1, 64, 64, 16]",65536,float32,NaN,NaN,NaN,NaN,"[1, 64, 64, 16]",65536,64
re_lu_1,ReLU,"[1, 64, 64, 16]",65536,float32,NaN,NaN,NaN,NaN,"[1, 64, 64, 16]",65536,0
conv2d_1,Conv2D,"[1, 64, 64, 16]",65536,float32,8,"[1, 1]",linear,False,"[1, 64, 64, 8]",32768,128
batch_normalization_2,BatchNormalization,"[1, 64, 64, 8]",32768,float32,NaN,NaN,NaN,NaN,"[1, 64, 64, 8]",32768,32
re_lu_2,ReLU,"[1, 64, 64, 8]",32768,float32,NaN,NaN,NaN,NaN,"[1, 64, 64, 8]",32768,0
conv2d_2,Conv2D,"[1, 64, 64, 8]",32768,float32,24,"[1, 1]",linear,False,"[1, 64, 64, 24]",98304,192
batch_normalization_3,BatchNormalization,"[1, 64, 64, 24]",98304,float32,NaN,NaN,NaN,NaN,"[1, 64, 64, 24]",98304,96
re_lu_3,ReLU,"[1, 64, 64, 24]",98304,float32,NaN,NaN,NaN,NaN,"[1, 64, 64, 24]",98304,0
depthwise_conv2d_1,DepthwiseConv2D,"[1, 64, 64, 24]",98304,float32,NaN,"[3, 3]",linear,False,"[1, 32, 32, 24]",24576,216
batch_normalization_4,BatchNormalization,"[1, 32, 32, 24]",24576,float32,NaN,NaN,NaN,NaN,"[1, 32, 32, 24]",24576,96
re_lu_4,ReLU,"[1, 32, 32, 24]",24576,float32,NaN,NaN,NaN,NaN,"[1, 32, 32, 24]",24576,0
conv2d_3,Conv2D,"[1, 32, 32, 24]",24576,float32,8,"[1, 1]",linear,False,"[1, 32, 32, 8]",8192,192
batch_normalization_5,BatchNormalization,"[1, 32, 32, 8]",8192,float32,NaN,NaN,NaN,NaN,"[1, 32, 32, 8]",8192,32
conv2d_4,Conv2D,"[1, 32, 32, 8]",8192,float32,24,"[1, 1]",linear,False,"[1, 32, 32, 24]",24576,192
batch_normalization_6,BatchNormalization,"[1, 32, 32, 24]",24576,float32,NaN,NaN,NaN,NaN,"[1, 32, 32, 24]",24576,96
re_lu_5,ReLU,"[1, 32, 32, 24]",24576,float32,NaN,NaN,NaN,NaN,"[1, 32, 32, 24]",24576,0
depthwise_conv2d_2,DepthwiseConv2D,"[1, 32, 32, 24]",24576,float32,NaN,"[3, 3]",linear,False,"[1, 32, 32, 24]",24576,216
batch_normalization_7,BatchNormalization,"[1, 32, 32, 24]",24576,float32,NaN,NaN,NaN,NaN,"[1, 32, 32, 24]",24576,96
re_lu_6,ReLU,"[1, 32, 32, 24]",24576,float32,NaN,NaN,NaN,NaN,"[1, 32, 32, 24]",24576,0
conv2d_5,Conv2D,"[1, 32, 32, 24]",24576,float32,8,"[1, 1]",linear,False,"[1, 32, 32, 8]",8192,192
batch_normalization_8,BatchNormalization,"[1, 32, 32, 8]",8192,float32,NaN,NaN,NaN,NaN,"[1, 32, 32, 8]",8192,32
add,Add,"[1, 32, 32, 8]",8192,float32,NaN,NaN,NaN,NaN,"[1, 32, 32, 8]",8192,0
conv2d_6,Conv2D,"[1, 32, 32, 8]",8192,float32,24,"[1, 1]",linear,False,"[1, 32, 32, 24]",24576,192
batch_normalization_9,BatchNormalization,"[1, 32, 32, 24]",24576,float32,NaN,NaN,NaN,NaN,"[1, 32, 32, 24]",24576,96
re_lu_7,ReLU,"[1, 32, 32, 24]",24576,float32,NaN,NaN,NaN,NaN,"[1, 32, 32, 24]",24576,0
depthwise_conv2d_3,DepthwiseConv2D,"[1, 32, 32, 24]",24576,float32,NaN,"[3, 3]",linear,False,"[1, 32, 32, 24]",24576,216
batch_normalization_10,BatchNormalization,"[1, 32, 32, 24]",24576,float32,NaN,NaN,NaN,NaN,"[1, 32, 32, 24]",24576,96
re_lu_8,ReLU,"[1, 32, 32, 24]",24576,float32,NaN,NaN,NaN,NaN,"[1, 32, 32, 24]",24576,0
conv2d_7,Conv2D,"[1, 32, 32, 24]",24576,float32,8,"[1, 1]",linear,False,"[1, 32, 32, 8]",8192,192
batch_normalization_11,BatchNormalization,"[1, 32, 32, 8]",8192,float32,NaN,NaN,NaN,NaN,"[1, 32, 32, 8]",8192,32
add_1,Add,"[1, 32, 32, 8]",8192,float32,NaN,NaN,NaN,NaN,"[1, 32, 32, 8]",8192,0
conv2d_8,Conv2D,"[1, 32, 32, 8]",8192,float32,24,"[1, 1]",linear,False,"[1, 32, 32, 24]",24576,192
batch_normalization_12,BatchNormalization,"[1, 32, 32, 24]",24576,float32,NaN,NaN,NaN,NaN,"[1, 32, 32, 24]",24576,96
re_lu_9,ReLU,"[1, 32, 32, 24]",24576,float32,NaN,NaN,NaN,NaN,"[1, 32, 32, 24]",24576,0
depthwise_conv2d_4,DepthwiseConv2D,"[1, 32, 32, 24]",24576,float32,NaN,"[5, 5]",linear,False,"[1, 16, 16, 24]",6144,600
batch_normalization_13,BatchNormalization,"[1, 16, 16, 24]",6144,float32,NaN,NaN,NaN,NaN,"[1, 16, 16, 24]",6144,96
re_lu_10,ReLU,"[1, 16, 16, 24]",6144,float32,NaN,NaN,NaN,NaN,"[1, 16, 16, 24]",6144,0
conv2d_9,Conv2D,"[1, 16, 16, 24]",6144,float32,16,"[1, 1]",linear,False,"[1, 16, 16, 16]",4096,384
batch_normalization_14,BatchNormalization,"[1, 16, 16, 16]",4096,float32,NaN,NaN,NaN,NaN,"[1, 16, 16, 16]",4096,64
conv2d_10,Conv2D,"[1, 16, 16, 16]",4096,float32,48,"[1, 1]",linear,False,"[1, 16, 16, 48]",12288,768
